Name,Address,City,St,Zip,Phone
168 Chinese Restaurant,7720 Turkey Lake Road,Orlando, Florida,32819,4073631688
1st Choice Restaurant,4081 Columbia Street,Orlando, Florida,32811,4072921332
456 Chinese Restaurant,657 North Primrose Drive,Orlando, Florida,32803,4078981899
4th Fighter Group Restaurant,East Colonial Dr And Ricken,Orlando, Florida,32801,4078984251
5 & Diner,12286 East Colonial Drive,Orlando, Florida,32826,4072071952
88 Chinese Restaurant,4175 Town Center Boulevard,Orlando, Florida,32837,4074380388
88 Chinese Restaurant,6115 Silver Star Road,Orlando, Florida,32808,4072971171
88 Noodle,730 North Mills Avenue,Orlando, Florida,32803,4078973488
A JS Chicken & Seafood,601 West Church Street,Orlando, Florida,32805,4078418880
A JS Deli,7680 Universal Boulevard,Orlando, Florida,32819,4073635733
A JS Deli,7061 Grand National Drive,Orlando, Florida,32819,4073523663
A Slice of New York,13851 South John Young Parkway,Orlando, Florida,32837,4078540064
Adobe Gilas,9101 International Drive,Orlando, Florida,32819,4079031477
Ahmed Restaurant,11349 South Orange Blossom Tra,Orlando, Florida,32837,4078568272
AJ Ender Restaurant Managment Recruiter,1210 Romano Avenue,Orlando, Florida,32807,4074820156
AJS Jerk Center,2389 West Church Street,Orlando, Florida,32805,4072982312
Aldos Italian Deli Inc,6325 North Orange Blossom Trai,Orlando, Florida,32810,4072998726
Alessandras International Restaurant,7467 International Drive,Orlando, Florida,32819,4079039290
Alex Tortilleria & Restaurant,2417 West Oak Ridge Road,Orlando, Florida,32809,4078883531
Alfonsos Pizza & More,3231 Edgewater Drive,Orlando, Florida,32804,4078727324
All American Burgers & Dogs,5291 West Oak Ridge Road,Orlando, Florida,32819,4072481145
All American Hot Dogs,861 North Alafaya Trail,Orlando, Florida,32828,4072819971
All Star Cafe Restaurant,890 South Victory Way,Orlando, Florida,32830,4078278326
Amalfi Italian Restaurant & Pizza,523 South Chickasaw Trail,Orlando, Florida,32825,4072826283
Amber Keg,7521 South Orange Avenue,Orlando, Florida,32809,4078519755
American West Indian Seafood & Grocery,5931 Old Winter Garden Road,Orlando, Florida,32835,4072929846
Amerisuites Orlando Convention Center,8741 International Dr,Orlando, Florida,32819,4073704720
Amerisuites Orlando Universal,5901 Caravan Ct,Orlando, Florida,32819,4073510627
Amigos Original Tex-Mex,6036 South Orange Blossom Trai,Orlando, Florida,32809,4078573144
Amigos VII,25 West Church Street,Orlando, Florida,32801,4079994885
Amura Japanese Restaurant,55 West Church Street,Orlando, Florida,32801,4073168500
Amura Windermere Japanese Restaurant,7780 West Sand Lake Road,Orlando, Florida,32819,4073700007
Andy Nice House Restaurant,11358 South Orange Blossom Tra,Orlando, Florida,32837,4078574688
Angel's Diner,Colonial Drive,Orlando, Florida,32810,4074262029
Angels Diner & Bakery,204 West Colonial Drive,Orlando, Florida,32801,4074262029
Angel's Diner & Bakery,304 West Colonial Drive,Orlando, Florida,32801,4073971960
Angkoowatp Inc,12384 State Road 535,Orlando, Florida,32836,4072389996
ANH Hong Sandwich Deli & Restaurant,1124 East Colonial Drive,Orlando, Florida,32803,4079992656
Anthonys Next Door,106 North Summerlin Avenue,Orlando, Florida,32801,4076482772
Anthonys Pizza Cafe,100 North Summerlin Avenue,Orlando, Florida,32801,4076480009
Anthonys Pizza-Ucf,10165 University Boulevard,Orlando, Florida,32817,4076796080
Antonios Restaurant and Pizza,5464 Chiswick Circle,Orlando, Florida,32812,4072736799
APNA Restaurants,9436 South Orange Blossom Trai,Orlando, Florida,32837,4078598500
Arby's Inc,5540 West Colonial Drive,Orlando, Florida,32808,4072955055
Arby's Inc,8586 South Orange Blossom Trai,Orlando, Florida,32809,4078599077
Arby's Inc,11891 East Colonial Drive,Orlando, Florida,32826,4073849526
Arby's Inc,6199 North Orange Blossom Trai,Orlando, Florida,32810,4072902880
Arby's Inc,2420 West Oak Ridge Road,Orlando, Florida,32809,4078596926
Arbys R T M Inc,1401 South Semoran Boulevard,Orlando, Florida,32807,4072779274
Arthurs 27,Downtown Disney Reso,Orlando, Florida,32830,4078273450
Artist Point,Disney's Wilderness,Orlando, Florida,32830,4079393463
Art's Cafe,1235 N.Orange Ave,Orlando, Florida,32804,4078959772
Art's Cafe,1235 north orang ave,Orlando, Florida,32804,4078959772
Arts Sandwich Shop Inc,1018 South Orange Blossom Trai,Orlando, Florida,32805,4074257814
Athenain Garden Cafe,2918 North Orange Avenue,Orlando, Florida,32804,4078982151
Atkins Elrod & Company Realtors Restaurant,229 Pasadena Place,Orlando, Florida,32803,4078416067
Authentic Cuban Sandwich,6303 South Orange Blossom Trai,Orlando, Florida,32809,4078525778
B & B Diner,3335 Curry Ford Road,Orlando, Florida,32806,4078951050
B T Bones Steak House,11350 South Orange Blossom Tra,Orlando, Florida,32837,4078597225
Baby J Restaurants,7135 South Orange Blossom Trai,Orlando, Florida,32809,4078161611
Bacco Italian Restaurant,10065 University Boulevard,Orlando, Florida,32817,4076788833
Backstage at the Rosen Plaza Hotel,9700 International Drive,Orlando, Florida,32819,4079969700
Backyard Burgers,7699 South Orange Blossom Trai,Orlando, Florida,32809,4078882820
Bahama Breeze,8735 Vineland Ave,Orlando, Florida,32821,4079389010
Bahama Breeze,8849 International Dr,Orlando, Florida,32819,4072482499
Baja Burrito Kitchen,2716 East Colonial Drive,Orlando, Florida,32803,4078956112
Baja Burrito Kitchen,423 North Alafaya Trail,Orlando, Florida,32828,4072826880
Baja Burrito Kitchen,4642 South Kirkman Road,Orlando, Florida,32811,4072995001
Bale Bakery,1229 North Mills Avenue,Orlando, Florida,32803,4078988011
Baraka Grille Inc,37 North Orange Avenue,Orlando, Florida,32801,4078398500
Bar-B-Q Bar,64 North Orange Avenue,Orlando, Florida,32801,4076485441
Bar-B-Que Shack,4529 North Pine Hills Road,Orlando, Florida,32808,4072951968
Barneys Steak & Seafood,1615 East Colonial Drive,Orlando, Florida,32803,4078966864
Barney's Steak & Seafood,1615 E.Colonial Dr,Orlando, Florida,32803,4078966865
Baskervilles,1850 Hotel Plaza Boulevard,Orlando, Florida,32830,4078284444
Bauern-Stube Authentic German Restaurant,8015 South Orange Avenue,Orlando, Florida,32809,4078578404
Bebee Pherai West Indian Bakery & Restaurant,4300 South Orange Blossom Trai,Orlando, Florida,32839,4076490095
Beckys Bar & Grill,12205 Narcoossee Road,Orlando, Florida,32827,4073803029
Beefy King Restaurant,424 North Bumby Avenue,Orlando, Florida,32803,4078942241
Beeline Mexican Restaurant,4542 Hoffner Avenue,Orlando, Florida,32812,4078570566
Beer Bellys Restaurant,6624 Old Winter Garden Road,Orlando, Florida,32835,4072973577
Benihana,1751 Hotel Plaza Boulevard,Orlando, Florida,32830,4078274865
Benihana Japanese Steakhouse & Sushi Bar,1751 Hotel Plaza Blvd,Orlando, Florida,32830,4078274865
Bennigan's - Colonial,4250 East Colonial Drive,Orlando, Florida,32803,4078966516
Bennigan's - South Orlando,6324 International Drive,Orlando, Florida,32819,4073514435
Bennigans Restaurants,7630 South Orange Blossom Trai,Orlando, Florida,32809,4078511266
Benny Choos Chinese,12329 Abberton Court,Orlando, Florida,32837,4078512090
Big Apple Buffet,198 South Semoran Boulevard,Orlando, Florida,32807,4073827220
Big Apple Deli & Sub,9785 South Orange Blossom Trai,Orlando, Florida,32837,4078576765
Big Belly Brewery,33 West Church Street,Orlando, Florida,32801,4076494270
Big Daddy's Roadhouse,3001 corrine drive,Orlando, Florida,32803,4076442844
Bill Wongs Restaurant,5668 International Drive,Orlando, Florida,32819,4073525373
Biscuits,2301 North Forsyth Road,Orlando, Florida,32807,4076787329
Bismillah of Orlando Inc,11220 South Orange Blossom Tra,Orlando, Florida,32837,4072519550
Bizzy Bee Buffet 7089,5626 Curry Ford Road,Orlando, Florida,32822,4072756327
Blue Restaurant,3367 South Kirkman Road,Orlando, Florida,32811,4076294599
Bobs Family Restaurant,1745 West Oak Ridge Road,Orlando, Florida,32809,4078553204
Bonefish Grill,7830 W Sandlake Rd,Orlando, Florida,32819,4073557707
Bonfamilles Cafe,Disney's Port Orlean,Orlando, Florida,32830,4079393463
Bongos Cuban Cafe,1498 East Buena Vista Drive,Orlando, Florida,32830,4078280999
Bongos Cuban Cafe,1498 East Buena Vista Drive,Orlando, Florida,32818,4078280999
Booth the Back,12261 University Boulevard,Orlando, Florida,32817,4072757480
Boston Lobster Feast,South At The Florida # T,Orlando, Florida,32801,4074380607
Bostonions Restaurant & Pub,2405 West Oak Ridge Road,Orlando, Florida,32809,4078269993
Brasserie Restaurant & Lounge-Sheraton World R,10100 International Drive,Orlando, Florida,32821,4073521100
Bravissimo Italian Cafe,337 North Shine Avenue,Orlando, Florida,32803,4078987333
Brians Restaurant,1409 North Orange Avenue,Orlando, Florida,32804,4078969912
Brisas Del Caribe Restaurant,5773 Curry Ford Road,Orlando, Florida,32822,4072752996
Broadway Pizza & Restaurant,1700 Woolco Way,Orlando, Florida,32822,4073817700
Broadway Pizza & Restaurant,6807 Visitors Circle,Orlando, Florida,32819,4073518989
Broadway Pizzaria and Restaurante,2409 Edgewater Drive,Orlando, Florida,32804,4076488877
Broadway Ristorante and Pizzaria,12279 University Boulevard,Orlando, Florida,32817,4072824000
Brooklyn Pizza,5681 Pershing Avenue,Orlando, Florida,32822,4072820110
Bryans Spanish Cove Condos,13875 State Road 535,Orlando, Florida,32821,4072394222
BS Barbecue,1210 Nebraska Street,Orlando, Florida,32803,4078966746
Bubbalous Bodacious Barbecue,5818 Conroy Road,Orlando, Florida,32835,4072951212
Bubbalous Bodacious Bar-B-Q,12100 Challenger Parkway,Orlando, Florida,32826,4074231212
Bubbas Deli Inc,3407 Conway Gardens Road,Orlando, Florida,32806,4078545151
BUCA Di Beppo,8001 S Orange Blossom Tr,Orlando, Florida,32809,4078597844
Buddyfreddys Country Buffet,5310 Central Florida Parkway,Orlando, Florida,32821,4072387594
Buenos Aire Roma,7044 International Drive,Orlando, Florida,32819,4072261380
Buffalo Wings & Sub CO,5586 North Orange Blossom Trai,Orlando, Florida,32810,4072962766
Bumby Cafeteria,207 North Bumby Avenue,Orlando, Florida,32803,4078945262
C & J Restaurant,562 West Church Street,Orlando, Florida,32805,4074221777
C & N Steak House,8460 Palm Parkway,Orlando, Florida,32836,4072397256
Cafe Allegre,2401 Edgewater Drive,Orlando, Florida,32804,4078722332
Cafe Annie,6513 Hidden Beach Circle,Orlando, Florida,32819,4074252808
Cafe Express,20 North Orange Avenue,Orlando, Florida,32801,4078727552
Cafe Express Homestyle,712 West Church Street,Orlando, Florida,32805,4078393914
Cafe Italiano Inc,565 North Semoran Boulevard,Orlando, Florida,32807,4072776840
Cafe Madrid,4502 Curry Ford Road,Orlando, Florida,32812,4072819491
Cafe Trastevere,825 N Magnolia Avenue,Orlando, Florida,32803,4078390235
Cafe TU TU Tango,8625 International Drive,Orlando, Florida,32819,4072482222
Cafeteria Latina,29 South Semoran Boulevard,Orlando, Florida,32807,4072779240
Cajun Max,124 West Pine Street,Orlando, Florida,32801,4076497227
Calico Jacks,11726 East Colonial Drive,Orlando, Florida,32817,4072492526
California Grill,Disney's Contemporar,Orlando, Florida,32830,4079393463
Camilas Restaurant,5458 International Drive,Orlando, Florida,32819,4073542507
Campanellas Subs,9195 Montevello Drive,Orlando, Florida,32818,4079050190
Canton One Chinese Restaurant,4075 West Oak Ridge Road,Orlando, Florida,32809,4073540607
Cape May Cafe,Disney's Beach Club,Orlando, Florida,32830,4079393463
Capri Italian-Restaurant Inc,5159 International Drive,Orlando, Florida,32819,4073526428
Captain Table,312 South Orange Blossom Trail,Orlando, Florida,32805,4076505994
Caribbean Flavour,4031 West Oak Ridge Road,Orlando, Florida,32809,4073517090
Caribbean One Stop,2117 West Colonial Drive,Orlando, Florida,32804,4074237552
Caribbean Sunshine Bakery,6982 Silver Star Road,Orlando, Florida,32818,4075780068
Caribe Royale Resort Suites And Villas,8101 World Center Dr,Orlando, Florida,32821,4072388000
Carinos Italian Restaurant Pizza & Deli,7572 West Sand Lake Road,Orlando, Florida,32819,4073528407
Carribean Sunshine Bakery,2528 West Colonial Drive,Orlando, Florida,32804,4078395060
Casa de Las Empanadas,1717 West Oak Ridge Road,Orlando, Florida,32809,4078129697
Cascade Restaurant,1 Grand Cypress Boulevard,Orlando, Florida,32836,4072391234
Caseys Deli,41 East Robinson Street,Orlando, Florida,32801,4078722457
Caseys On Central,50 East Central Boulevard,Orlando, Florida,32801,4076484218
Catered Elegance,4797 South Orange Avenue,Orlando, Florida,32806,4078545654
Cattlemans Steakhouse,8801 International Drive,Orlando, Florida,32819,4073549888
Cecils Texas Style Bar-B-Q,2800 South Orange Avenue,Orlando, Florida,32806,4074239871
Celebrity Delly,2030 West Colonial Drive,Orlando, Florida,32804,4078391983
Chale Cafe & Grill,Po Box 568671,Orlando, Florida,32856,4078943579
Chamberlins Market & Cafe,4960 East Colonial Drive,Orlando, Florida,32803,4078948452
Chamberlins Market & Cafe,7600 Drive Phillips Boulevard,Orlando, Florida,32819,4073522130
Champs Deli Bakery & Cafe,132 East Central Boulevard,Orlando, Florida,32801,4076491230
Chans Chinese Cuisine,1901 East Colonial Drive,Orlando, Florida,32803,4078960093
Chaparral Steakhouse,6129 Old Winter Garden Road,Orlando, Florida,32835,4072987334
Chapters Bookshop & Cafe Inc,721 West Smith Street,Orlando, Florida,32804,4072460114
Chapters Bread & Books Cafe Inc,717 West Smith Street,Orlando, Florida,32804,4072461546
Charleys Steak House,6107 South Orange Blossom Trai,Orlando, Florida,32809,4078517130
Chat Gardens,11601 South Orange Blossom Tra,Orlando, Florida,32837,4078259555
Chathams Place,7575 Dr Phillips Boulevard,Orlando, Florida,32819,4073452992
Chatham's Place,7575 Dr Phillips Blvd,Orlando, Florida,32809,4073452992
Checkers Drive In,6371 West Colonial Drive,Orlando, Florida,32818,4072940288
Checkers Drive-In,2750 West Colonial Drive,Orlando, Florida,32804,4072950807
Checkers Drive-In Restaurants,1035 Lee Road,Orlando, Florida,32810,4076280811
Checkers International Drive,6908 West Sand Lake Road,Orlando, Florida,32819,4072489052
Checkers Restaurant,7604 East Colonial Drive,Orlando, Florida,32807,4076582053
Checkers Restaurant,3800 South Orange Blossom Trai,Orlando, Florida,32839,4078494663
Checkers Restaurant,11816 East Colonial Drive,Orlando, Florida,32826,4073814710
Cheeburger Cheeburger,5812 Conroy Road,Orlando, Florida,32835,4075229993
Chengs Chinese Restaurant,4004 South Semoran Boulevard,Orlando, Florida,32822,4072494180
Chens Restaurant,7350 Curry Ford Road,Orlando, Florida,32822,4072081128
Chens Restaurant,7575 West Sand Lake Road,Orlando, Florida,32819,4072261717
Cherazis Italian Restaurant & Pizza,1400 South Crystal Lake Drive,Orlando, Florida,32806,4078950505
Cheryls Cafe,4303 Vineland Road,Orlando, Florida,32811,4076484978
Cheyenne Saloon and Restaurant,128 West Church Street,Orlando, Florida,32801,4074237742
Chez Daniel,4124 Lake Underhill Road,Orlando, Florida,32803,4078969976
Chez Nous,720 South Orange Blossom Trail,Orlando, Florida,32805,4079994997
Chick Fil A,7415 South Orange Blossom Trai,Orlando, Florida,32809,4078560106
Chick Fil A,Orlando Fashion Squa,Orlando, Florida,32801,4078962675
Chick Fil A,13448 South Apopka Vineland Ro,Orlando, Florida,32821,4078277032
Chick Fil A,Florida Mall,Orlando, Florida,32801,4078576580
Chick Fil A,11350 University Boulevard,Orlando, Florida,32817,4077370002
Chick Fil-A at Colonial Plaza Market Center,2448 East Colonial Drive,Orlando, Florida,32803,4078960350
Chicken KOOP Wings & Things,5408 Silver Star Road,Orlando, Florida,32808,4075320110
Chick-Fil-A - Orlando Fashion Square,4752 South Kirkman Road,Orlando, Florida,32811,4078962675
Chick-Fil-A of Sand Lake Road,7333 West Sand Lake Road,Orlando, Florida,32819,4073709295
Chick-Fil-A of Waterford Lakes,633 North Alafaya Trail,Orlando, Florida,32828,4072818897
Chicos Sub Shop,5 Lorna Doone Boulevard,Orlando, Florida,32805,4074255249
Chili Hut,14836 Spyglass Street,Orlando, Florida,32826,4073824700
China 8,2912 North Pine Hills Road,Orlando, Florida,32808,4072968553
China Bay Restaurant,6315 Seabury Way,Orlando, Florida,32818,4072908460
China Cafe,6803 South Kirkman Road,Orlando, Florida,32819,4072269898
China City,851 Sand Lake Road,Orlando, Florida,32809,4078592168
China Club,4066 North Alafaya Trail,Orlando, Florida,32826,4073801084
China Corral,929 West Colonial Drive,Orlando, Florida,32804,4078391333
China Fortune Restaurant,1163 South Semoran Boulevard,Orlando, Florida,32807,4072080809
China Hut,7615 South Orange Blossom Trai,Orlando, Florida,32809,4072400467
China in Metro West,2407 South Hiawassee Road,Orlando, Florida,32835,4072998687
China Jade Buffet Mongolian Grill,7403 South Orange Blossom Trai,Orlando, Florida,32809,4074389999
China Jade Buffet Mongolian Grill,7308 International Drive,Orlando, Florida,32819,4073639797
China Jade Buffet Mongolian Grill,819 Herndon Avenue,Orlando, Florida,32803,4078986394
China King Express,6406 North Orange Blossom Trai,Orlando, Florida,32810,4075217434
China Master,2425 Edgewater Drive,Orlando, Florida,32804,4074227968
China Palace Restaurant,2740 South Orange Blossom Trai,Orlando, Florida,32805,4074232958
Chinas Best,2508 South Semoran Boulevard,Orlando, Florida,32822,4078237799
Chinatown Restauarant & Market,1103 North Mills Avenue,Orlando, Florida,32803,4078969383
Chirico Fast Food,4302 South Semoran Boulevard,Orlando, Florida,32822,4072070022
Choices Cafe,201 South Orange Avenue,Orlando, Florida,32801,4078392007
CHOO Choos Chinese Fast Food,4700 South Orange Blossom Trai,Orlando, Florida,32839,4078596099
Choo-Choo Churros,5810 Lake Underhill Road,Orlando, Florida,32807,4073826001
Chriss Truck Stop,17433 East Colonial Drive,Orlando, Florida,32820,4075685227
Christos Subs & Salads,1815 Edgewater Drive,Orlando, Florida,32804,4074258136
Chubbys Family Restaurant,10376 East Colonial Drive,Orlando, Florida,32817,4073806006
Chuck E Cheese,449 North Alafaya Trail,Orlando, Florida,32828,4073827121
Chucks Restaurant II,807 North Mills Avenue,Orlando, Florida,32803,4078988143
Churchs Fried Chicken Express,8299 Silver Star Road,Orlando, Florida,32818,4075217896
CIAO Italia,6149 Westwood Boulevard,Orlando, Florida,32821,4073540770
Cicis Pizza Inc,8261 South John Young Parkway,Orlando, Florida,32819,4073524244
Cinemark Festival Bay,5150 International Drive,Orlando, Florida,32819,4073513117
Citricos,Disney's Grand Flori,Orlando, Florida,32830,4079393463
City Diner,411 North Magnolia Avenue,Orlando, Florida,32801,4073168111
Claddagh Cottage Irish Pub,4308 Curry Ford Road,Orlando, Florida,32806,4078951555
Clarkies Restaurant,3110 South Orange Avenue,Orlando, Florida,32806,4078591690
Club Orlando Resort,5305 San Antonio Ave,Orlando, Florida,32839,4073551105
Club Restaurant ZIPA,37 West Pine Street,Orlando, Florida,32801,4078358052
Coffee Cafe,Factory Outlet Mall,Orlando, Florida,32801,4073512210
College Park Cafe,2304 Edgewater Drive,Orlando, Florida,32804,4074209892
Colonial Lanes Restaurant & Bar,400 North Primrose Drive,Orlando, Florida,32803,4078961443
Conch Palace,5120 Silver Star Road,Orlando, Florida,32808,4072951017
Concha ME Crazy Restaurant,191 East Pine Street,Orlando, Florida,32801,4072460011
Coney Island Pizza,731 South Semoran Boulevard,Orlando, Florida,32807,4074825755
Coneys Curls & Swirls,3900 Edgewater Drive,Orlando, Florida,32804,4072984832
Convention Services & Facilities,400 West Livingston Street,Orlando, Florida,32801,4078436664
Conways Barbecue,2435 South Orange Avenue,Orlando, Florida,32806,4075400208
Conways BBQ,7320 Lake Underhill Road,Orlando, Florida,32822,4073821997
Conways BBQ,Po Box 560004,Orlando, Florida,32856,4073827172
Cooker Bar & Grille,2600 East Colonial Drive,Orlando, Florida,32803,4078943009
Costa Del Sol,Po Box 574865,Orlando, Florida,32857,4074829336
Crab House Seafood Restaurant,8496 Palm Parkway,Orlando, Florida,32836,4072391888
Crab House Seafood Restaurant,8291 International Drive,Orlando, Florida,32819,4073526140
Crab Stop,3749 South Kirkman Road,Orlando, Florida,32811,4072926161
Crackers Seafood Restaurant,129 West Church Street,Orlando, Florida,32801,4074222434
Crickets an Eating & Drinking Place,4562 South Semoran Boulevard,Orlando, Florida,32822,4072773322
Crocodile Reef,6231 International Drive,Orlando, Florida,32819,4073543333
